n,V_B,V_A
10,6.711,12.573
11,6.477,12.093
12,6.286,11.701
13,6.127,11.375
14,5.992,11.098
15,5.875,10.861
16,5.774,10.654
17,5.684,10.472
18,5.605,10.311
19,5.533,10.166
20,5.469,10.035
21,5.412,9.917
22,5.359,9.809
23,5.31,9.71
24,5.265,9.619
25,5.224,9.535
26,5.186,9.457
27,5.15,9.385
28,5.117,9.318
29,5.086,9.251
30,5.057,9.195
31,5.03,9.139
32,5.003,9.087
33,4.979,9.037
34,4.956,8.99
35,4.934,8.946
36,4.913,8.904
37,4.893,8.863
38,4.875,8.825
39,4.857,8.789
40,4.84,8.754
41,4.823,8.721
42,4.807,8.689
43,4.792,8.658
44,4.778,8.629
45,4.764,8.6
46,4.751,8.573
47,4.738,8.547
48,4.725,8.522
49,4.713,8.498
50,4.702,8.474
51,4.691,8.452
52,4.68,8.43
53,4.67,8.409
54,4.659,8.389
55,4.65,8.369
56,4.64,8.349
57,4.631,8.33
58,4.622,8.313
59,4.631,8.295
60,4.605,8.278
61,4.597,8.262
62,4.589,8.246
63,4.582,8.23
64,4.574,8.215
65,4.567,8.2
66,4.56,8.186
67,4.553,8.172
68,4.546,8.158
69,4.539,8.145
70,4.533,8.132
71,4.527,8.119
72,4.521,8.107
73,4.515,8.095
74,4.509,8.083
75,4.503,8.071
76,4.498,8.06
77,4.492,8.049
78,4.487,8.038
79,4.482,8.028
80,4.477,8.017
81,4.471,8.007
82,4.466,7.997
83,4.462,7.988
84,4.457,7.978
85,4.452,7.969
86,4.448,7.96
87,4.443,7.951
88,4.439,7.942
89,4.435,7.933
90,4.431,7.925
91,4.427,7.916
92,4.423,7.908
93,4.419,7.9
94,4.415,7.892
95,4.411,7.884
96,4.407,7.877
97,4.404,7.867
98,4.4,7.862
99,4.396,7.855
100,4.393,7.845
102,4.386,7.834
104,4.38,7.82
106,4.373,7.811
108,4.367,7.795
110,4.361,7.783
112,4.355,7.771
114,4.349,7.759
116,4.344,7.748
118,4.339,7.737
120,4.334,7.727
122,4.328,7.717
124,4.323,7.706
126,4.317,7.697
128,4.314,7.687
130,4.309,7.678
132,4.305,7.669
134,4.301,7.66
136,4.296,7.652
138,4.292,7.643
140,4.288,7.635
142,4.284,7.627
144,4.28,7.619
146,4.277,7.612
148,4.273,7.604
150,4.269,7.597
152,4.266,7.59
154,4.262,7.583
156,4.259,7.576
158,4.256,7.569
160,4.253,7.563
162,4.249,7.556
164,4.246,7.55
166,4.243,7.544
168,4.24,7.538
170,4.237,7.532
172,4.234,7.526
174,4.232,7.52
176,4.229,7.515
178,4.226,7.509
180,4.224,7.504
182,4.221,7.499
184,4.218,7.493
186,4.216,7.488
188,4.213,7.483
190,4.211,7.478
192,4.208,
194,4.206,
196,4.204,
198,4.201,
200,4.199,
204,4.195,
208,4.191,
212,4.186,
216,4.182,
220,4.179,
224,4.175,
228,4.171,
232,4.168,
236,4.164,
240,4.161,
244,4.157,
248,4.154,
252,4.151,
256,4.148,
260,4.145,
264,4.142,
268,4.14,
272,4.137,
276,4.134,
280,4.131,
284,4.129,
288,4.126,
292,4.124,
296,4.121,
300,4.119,
310,4.113,
320,4.108,
330,4.103,
340,4.098,
350,4.093,
360,4.089,
370,4.085,
380,4.081,
390,4.077,
400,4.073,
425,4.076,
450,4.067,
475,4.06,
500,4.053,
525,4.047,
550,4.041,
575,4.035,
600,4.03,
625,4.025,
650,4.02,
675,4.016,
700,4.012,
725,4.008,
750,4.005,
775,4.001,
800,3.998,
825,3.995,
850,3.992,
875,3.989,
900,3.986,
925,3.983,
950,3.981,
975,3.979,
1000,3.976,
1100,3.968,
1200,3.96,
1300,3.954,
1400,3.948,
1500,3.943,
1600,3.939,
1700,3.934,
1800,3.931,
1900,3.927,
2000,3.924,
3000,3.901,
4000,3.887,
5000,3.878,
6000,3.872,
7000,3.866,
8000,3.862,
9000,3.859,
10000,3.856,
15000,3.846,
20000,3.84,
100000,3.803,
